,,,,,,,,,,,
,,id_film,titre,date,image,prix,genre,realisateur,synopsis,duree,pays
,,15," ""Le Pianiste sans Nom"""," ""24 avril 2024"""," ""pianiste_sans_nom.jpg""",10," ""Drame"""," ""Émilie Morel"""," ""Un virtuose du piano anonyme inspire et transforme la vie des personnes qu'il rencontre.""",105," ""Italie"""
,,16," ""Mystères du Temple Perdu"""," ""15 août 2023"""," ""mysteres_temple_perdu.jpg""",14," ""Aventure"""," ""Louis Martin"""," ""Une équipe d'archéologues découvre un temple antique rempli d'énigmes et de trésors anciens.""",135," ""Grèce"""
,,17," ""L'Éveil des Titans"""," ""12 décembre 2024"""," ""eveil_titans.jpg""",8," ""Fantasy"""," ""Marc-Antoine Laroche"""," ""Des héros doivent empêcher l'émergence de titans légendaires qui menacent d'anéantir le monde.""",120," ""Royaume-Uni"""
,,18," ""Infiltration Virtuelle"""," ""7 mai 2023"""," ""infiltration_virtuelle.jpg""",11," ""Action"""," ""Nadia Durand"""," ""Une espionne virtuose infiltre un réseau informatique pour arrêter une organisation criminelle.""",125," ""Russie"""
,,19," ""La Ballade du Violoncelle"""," ""18 septembre 2025"""," ""ballade_violoncelle.jpg""",9," ""Drame"""," ""Antoine Girard"""," ""L'histoire émouvante d'un violoncelliste talentueux et de son instrument magique.""",100," ""Autriche"""
,,20," ""Énigme au Musée"""," ""8 novembre 2022"""," ""enigme_musee.jpg""",12," ""Suspense"""," ""Sophie Martin"""," ""Une conservatrice de musée enquête sur le vol d'une œuvre d'art précieuse déclenchant une série d'événements mystérieux.""",140," ""France"""
,,21," ""Les Jardins de l'Espoir"""," ""20 janvier 2024"""," ""jardins_espoir.jpg""",10," ""Science-fiction"""," ""Lucie Deschamps"""," ""Des scientifiques tentent de restaurer l'écosystème terrestre après une catastrophe environnementale.""",130," ""Canada"""
,,22," ""Le Talisman des Rois"""," ""9 mars 2023"""," ""talisman_rois.jpg""",15," ""Fantasy"""," ""Pierre Lambert"""," ""Un jeune prince part à la recherche d'un talisman légendaire pour sauver son royaume de la ruine.""",145," ""France"""
,,23," ""Mission Évasion"""," ""28 juin 2025"""," ""mission_evasion.jpg""",13," ""Action"""," ""Éric Leclerc"""," ""Un groupe d'agents secrets doit s'évader d'une prison de haute sécurité pour arrêter une menace imminente.""",120," ""États-Unis"""
,,24," ""Les Contes du Crépuscule"""," ""4 décembre 2022"""," ""contes_crepuscule.jpg""",11," ""Fantasy"""," ""Sarah Bouchard"""," ""Un monde féerique est menacé par l'obscurité et seuls des conteurs spéciaux peuvent sauver la lumière.""",135," ""Irlande"""
,,25," ""Le Violon Magique"""," ""15 octobre 2024"""," ""violon_magique.jpg""",9," ""Drame"""," ""Antoine Lavoie"""," ""Un violon exceptionnel détient des pouvoirs magiques et celui qui le joue peut accomplir des miracles.""",105," ""Allemagne"""
,,26," ""L'Énigme de l'Atlantide"""," ""9 septembre 2023"""," ""enigme_atlantide.jpg""",14," ""Aventure"""," ""Julien Durand"""," ""Une expédition marine découvre les ruines légendaires de l'Atlantide mais des secrets dangereux sont révélés.""",155," ""Égypte"""
,,27," ""Renaissance Technologique"""," ""6 juillet 2024"""," ""renaissance_technologique.jpg""",10," ""Science-fiction"""," ""Isabelle Gagnon"""," ""Un groupe de génies technologiques révolutionne la société avec une invention révolutionnaire.""",100," ""Japon"""
,,28," ""Le Destin de l'Épée"""," ""19 février 2023"""," ""destin_epee.jpg""",16," ""Fantasy"""," ""Marcelle Lévesque"""," ""Un guerrier légendaire doit affronter un tyran maléfique pour restaurer la paix dans son royaume.""",140," ""Espagne"""
,,29," ""Évasion Virtuelle"""," ""28 août 2022"""," ""evasion_virtuelle.jpg""",12," ""Action"""," ""Vincent Dubois"""," ""Des prisonniers sont coincés dans un monde virtuel et doivent s'échapper pour retrouver la liberté.""",125," ""États-Unis"""
,,30," ""La Symphonie du Destin"""," ""21 novembre 2025"""," ""symphonie_destin.jpg""",9," ""Drame"""," ""Claire Martin"""," ""Une jeune compositrice trouve l'inspiration au milieu de la tourmente et crée une symphonie émouvante.""",100," ""Royaume-Uni"""
,,31," ""Le Trésor des Rois"""," ""2 janvier 2024"""," ""tresor_rois.jpg""",12," ""Aventure"""," ""Gabriel Boucher"""," ""Une chasse au trésor ancestrale mène à des épreuves dangereuses pour atteindre une richesse cachée.""",145," ""France"""
,,32," ""La Prophétie Oubliée"""," ""14 avril 2023"""," ""prophetie_oubliee.jpg""",8," ""Fantasy"""," ""Chloé Girard"""," ""Une ancienne prophétie oubliée révèle un destin inattendu pour une jeune héroïne.""",110," ""Canada"""
,,33," ""Code Rouge"""," ""22 septembre 2025"""," ""code_rouge.jpg""",13," ""Action"""," ""Théo Lefebvre"""," ""Un virus informatique redoutable menace de détruire les réseaux mondiaux et une équipe de hackers doit l'arrêter.""",125," ""Chine"""
,,34," ""Le Peintre de l'Éclipse"""," ""9 novembre 2022"""," ""peintre_eclipse.jpg""",10," ""Drame"""," ""Marie Dubois"""," ""Un artiste peintre exprime son art au milieu d'un événement astronomique rare mais des forces obscures menacent sa créativité.""",105," ""Italie"""
,,35," ""L'Épée du Destin"""," ""16 janvier 2024"""," ""epee_destin.jpg""",14," ""Fantasy"""," ""Lucas Gérard"""," ""Une épée légendaire forge le destin d'un jeune héritier dans une quête pour restaurer la paix dans les royaumes en guerre.""",155," ""Royaume-Uni"""
,,36," ""Renaissance Cérébrale"""," ""7 mars 2023"""," ""renaissance_cerebrale.jpg""",11," ""Science-fiction"""," ""Julia Blanchard"""," ""Des scientifiques explorent les frontières de la conscience humaine avec une technologie révolutionnaire.""",135," ""États-Unis"""
,,37," ""L'Énigme de la Forêt Interdite"""," ""28 juin 2025"""," ""enigme_foret_interdite.jpg""",9," ""Aventure"""," ""Louis Lévesque"""," ""Des explorateurs partent à la recherche d'un mystère caché au cœur d'une forêt mystique.""",120," ""Canada"""
,,38," ""Réalité Parallèle"""," ""3 décembre 2022"""," ""realite_parallele.jpg""",12," ""Science-fiction"""," ""Sophie Laurent"""," ""Des voyageurs découvrent des réalités alternatives où chaque choix a des conséquences inattendues.""",140," ""Japon"""
,,39," ""Le Violoniste de Minuit"""," ""15 septembre 2024"""," ""violoniste_minuit.jpg""",10," ""Drame"""," ""Alexandre Lavoie"""," ""Un virtuose du violon joue des mélodies envoûtantes la nuit attirant l'attention d'une audience mystérieuse.""",100," ""Allemagne"""
,,40," ""Le Mystère des Sables Oubliés"""," ""8 novembre 2023"""," ""mystere_sables_oublies.jpg""",13," ""Aventure"""," ""Emma Durand"""," ""Une équipe d'archéologues découvre des secrets enfouis sous les dunes du désert.""",125," ""Égypte"""
,,,,,, ,,,,,
